,Author,Text
338,Dragodar,"The man chuckles and hiccups. ""Why yesh it is."" He pauses, opening and closing his mouth several times to wet his whistle while opening his yes very wide to test his vision. ""Very shpecial holiday indeed lad... We call it Shaturday."" The man looks at the flagon in Chad's hands. ""Is that mine?"""
339,ButcherDawg,"Seamus stumbles up to the man. ""Might I use yer sh-shart to wipe my face?"""
340,Nightwing32193,"""Where can i find a flagon such as that old man?""  DEX check to catch Seamus before he knocks over the dude"
341,Dragodar,"(1d20+1)9""In there!"" the man roars in response to Gideon. Looking down at Seamus with surprise, he says ""Oh hell, laddie. Uh yeah go for it."" Gideon reaches out to grab Seamus, but the boy is already wiping his face on the man's overalls.The man politely waits for Seamus to finish, then grabs his mug from Chad's hands and sloppily finishes the drink, releasing a loud belch.""Shcuse me..."" he says. He takes his arm from around Chad's shoulder and walks over to the wall of the building, where he sits down on the ground and leans against the wall, his chin resting on his chest. Within seconds, the party can hear his snores."
342,ButcherDawg,"Seamus points back at the man's shirts and reacts in a bummed-out surprise, ""Oh no! Oh, man. I'm so sorry I got I got, like, some vomit on your shirt. B-But no worries though. It's cool. It's fine."""
343,Dragodar,The man is already blissfully snoring and does not hear Seamus' words. A rowdy burst of shouts and laughter erupts from inside the pub.
344,Nightwing32193,"Gideon shrugs and walks towards the entrance to the building in search of more drink. As he nears the door he remembers that he's still wearing all his weapons and does as good of a 180 as he can manage back to the group,""Uh, yeah, i'm have all my weapons on still. Lets find a camp first yeah?"""
345,Graehamkracker,"""A roof may do us better, and they may have it"""
346,Nightwing32193,"Gideon snaps his fingers and points at the dwarf,""Yes! A roof, thats it. An inn even? Im sure we can find one in this place."""
347,Dragodar,It doesn't take much searching at all to find an inn. Directly across the street from <i>The Squeaky Sparrow stands a comfortable looking inn with a large sign that reads <i>The Down Pillow Inn in fancy embellished writing.
348,ButcherDawg,"""If we go in there... then we will be IN the INN..."" Seamus mouths ""whoah."""
349,Nightwing32193,"Gideon enters the Inn and walks up to the counter, ringing the bell for service."
350,Graehamkracker,"Bendron stays outside, trying to gather Seamus and hands him a waterskin. ""Here you are lad, best if we let them sort out the rooms and we keep our mess out here."""
351,Nightwing32193,"""Service! Service!"""
352,Dragodar,"Inside <i>The Down Pillow Inn, you find yourselves in a dimly lit foyer. In the middle is a small counter with a doorway behind it, and on either side of the counter are two hallways that run toward the back of the building. From the darkened doorway behind the counter, a short, rotund man wearing spectacles comes scurrying out.""Yes, yes! Welcome! My name is Matthias. I assume you seek lodging for the night?"" he says is a friendly high pitched voice."
353,BeefyChickens,Demryon follows enters the inn.
354,Nightwing32193,"""Aye, what are your rates?"" "
355,Dragodar,"""If you would like to sleep in the common area in the back, you are welcome to find a spot on the floor. There is a hearth that is kept burning throughout the night, so please avoid sleeping on the marked path that the help uses to keep logs on the fire. The common area is two silver per person per night."" The bespectacled innkeeper smiles and clears his throat.""If, on the other hand, you would like private rooms, the cost will be higher. The rooms are kept warm by individual chimneys that come from the furnace in our cellar. Each room has a bed, a bedside table, a desk, and a chair. The rooms are two gold per night, and we ask that you do not have more than three people per room.""The man pulls out a quill and ink jar from under the counter, and then produces a large logbook. ""What will it be tonight, gentlemen?"""
356,Nightwing32193,"""Private room sounds good to me. What about the rest of you?"""
357,Dragodar,"Between the five of them, the party pays for two separate rooms. The total cost comes to four gold, and they head upstairs to unpack their things and turn in for the first good night's sleep they've had in a long while."
358,Graehamkracker,"Bendron has had a lot of sleep recently. 8 hours after laying down on a piece of the floor, he's up and seeing if any of the others were awake and willing to have a quick walk around the town, to explore and see if there was anything worth doing in town before heading south."
359,Dragodar,"After a relatively relaxing night of drinking, the party rents a pair of rooms at <i>The Down Pillow Inn and gladly fall asleep straightaway.=============The sun rises bright and early the next day, around 6 AM. Bendron is awake and ready to go while the others rise groggily. Well rested and reinvigorated, the party is ready to get an early start on the day."
360,Nightwing32193,"Gideon yawns and rubs the sleep from his eyes. Then almost immediately clutches his head,""Oh, gods, this is always the worst part.""""Is Seamus still alive? Didn't take him for a drinker."""
361,Dragodar,
362,Graehamkracker,"Tired of waiting for the rest, Bendron tries to poke Seamus awake."
363,Nightwing32193,"""Time to pay for your sins boy. Wake up!"" calls Gideon from across the room."
364,Graehamkracker,"Seeing the boy is suffering from a particularly nasty hangover, Bendron moves picks the lad up and carry him along until he is fit to walk.(1d20+8)26"
365,Nightwing32193,"Gideon lets out a chuckle then immediately starts rubbing his temples, ""Gods, fock me."""
366,Graehamkracker,"Lifting the suffering boy onto his shoulders, Bendron heads towards the door. ""Come, let's find the rest and head south. We've a long way to go and much to see along the way."""
367,Dragodar,"Bendron gently slings Seamus over his shoulder and heads out the door. Collecting their things, the party follows Bendron. After returning their keys at the front desk, the party makes their way outside, blinking in the bright sunlight. The street bustles with daytime activity; shopkeepers calling out their wares and residents rushing to and fro, running their daily errands."
368,Nightwing32193,"Gideon takes a long drink from his water skin. It takes a moment for his eyes and ears to adjust to the outside before he speaks, ""Alright, to Elf country? Or did anyone want to look around a bit?"""
369,Graehamkracker,"""Would this be the place to stock up on coin and provision? Or should we stop along the way?"""
370,Dragodar,"A guard who happens to be patrolling the street glances over at the party and then changes direction toward them. His loose black locks frame a youthful but strong face. He reaches them and takes his sword from its position resting comfortably on his shoulder, planting the tip of it in the ground and leaning on it for support.""Mornin' fellas. Mind if I ask your business in Aldus?"" The guard's tone is casual an he smiles as he speaks, but he does not takes his eyes off of Bendron as he says this. In particular, he seems interested in the semi-conscious body of Seamus hanging over the dwarf's shoulder."
371,Graehamkracker,"""I do not have a business"""
372,Nightwing32193,"""That's a cute sword ya got there, now why don't you put it away before someone gets hurt, yeah? We're just minding our own business here."""
373,Dragodar,"The guard glances at Gideon. His friendly tone hardens slightly without completely disappearing, as he responds, ""It would be better if you not tell an officer of the law what to do with his weapon. Since you folks don't seem to like cooperating, I'll just say it flat out. Who's the kid, and where are you taking him?""By this point another guard, walking a similar patrol down the street, approaches the group. ""Everything alright here, John?"" the second guard asks his companion. He sports a thick brown mustache and looks to be several years John's senior. He leaves his sword leaning on his shoulder as he pauses to ask the question.""Certainly, Ed. I've just asked these gentlemen their business in Aldus, of which they have none apparently. I've also asked them who the unconscious youth is, and they have yet to provide a satisfactory response for that as well.""Ed glances from John to the party, waiting expectantly."
374,ButcherDawg,"""Nobodys gonna carry me in... ever!"""
375,Graehamkracker,"""Again, I have no business. I am no craftman. As for they boy, he didn't sleep well, so I'm helping him along so we don't lose the day. We're heading out of town. To the South, i believe."""
376,Dragodar,"The guards look at each other, confused as to whether they should be amused or concerned. Ed speaks up. ""Do you know these fellows, lad? Are you alright?""John looks at Bendron. ""I'm sorry, I should have been more clear. I meant, what is it you're doing in Aldus? I only ask because I haven't seen you fellows around, and I'm rather good with faces."""
377,Nightwing32193,"""Ha, I see what you did there Ben, nice one. But the lad'sawake, so we must be on our way. Goodbye"" "
378,Dragodar,"Ed looks at Gideon. ""Come on now, don't make this difficult for everyone. We're only trying to do our job. Four big fellas walking down the street with a limp kid in tow looks like funny business, you have to admit that.""John smiles apologetically at Bendron. ""We can't let you go until we've had a talk with the kid."""
379,RealZachKraus,"Chadwick waves the officer off. ""We've been travelling, only stopped through for the night. Nice town you got here. Hope to visit again."" He steps back and waves the rest of the party through."
380,Dragodar,"The guards look at each other and sigh. John looks at Chadwick. ""Please don't make us call for back up. This would be much easier if we just talked."" Ed grabs a horn from his belt and places it to his lips, not blowing it yet but preparing to."
381,RealZachKraus,"Chad steps closer to the guard, ""Up until this point we've been shown very excellent hospitality. Do you question all visitors this way? I hear you though, can't be too careful. I'm from a military town, I remember when I was growing up, checkpoints this checkpoints that.. I appreciated it later though, kept us safe..""Quietly, making it sound like a curse""i distract, move out town""""Pardon my language, we had a bit of a late night last night. One very exuberant man turned us on to your glorious local tradition of ""Saturday,"" Chadwick laughs disarmingly."
382,Nightwing32193,"""Gods, your grammar is as bad as ever, Chad, just let them talk to the boy, after that if we are detained any longer we'll do that."""
383,ButcherDawg,"Seamus fails at pushing himself to his feet twice, landing face first in the mud. Finally he finds his balance and stumbles over to the guards. ""And another thing! Could you please lower your voices for just a few... forever."""
384,Dragodar,"The guards smile at Seamus' words. ""Alright, lad, glad you're okay,"" says John with a chuckle. Ed looks up at Chadwick. ""First taste of the ole sauce for this one, last night?"" He jerks his thumb in Seamus' direction while laughing good naturedly.John address Bendron. ""Can't be too careful. Kidnapping isn't a huge problem in Aldus, but it happens. Wouldn't want some mother coming to us tomorrow wailing about her boy gone missing.""Ed turns to Gideon. ""Sorry to keep you boys, go ahead and be on your way."""
385,Nightwing32193,"Gideon casually salutes the two gaurds,""No trouble at all lads, just be careful of who you draw your sword on, just friendly advice is all."""
386,RealZachKraus,"""It's mornings like these where boys become men."""
387,ButcherDawg,"Seamus looks back to the guards as they pass, ""Listen if you hear me scream in the distance. That means I've changed my mind!"""
388,Dragodar,"The guards chuckle at Seamus' words and carry on down the road. The sun shines merrily, low in the eastern sky, its feeble warmth doing little against the cold winter air.It is about 7 AM on Sunday, Iru 7th."
389,Graehamkracker,"""So southwest through the mountains? If things haven't changed too much, I think I may know a few routes through.(1d20+7)13"
390,RealZachKraus,"Chadwick frowns, ""For real, I'm loath to go near those mountains again. In fact, I'm not sure I wanna see another mountain the rest of my life."""
391,Nightwing32193,"""Fock right off, Chadwick.""""And I'm loath, whatever the fock that means, to leave land. With the dwarf leading us, I'm sure we will be fine."" he says, eyeing Bendron."
392,Nightwing32193, look around for a suitable horse i can steal. 
393,RealZachKraus,"""take sh!t, ya fvckin..""""...duster. If you think I'm always gonna be there to save your ass from..""""some black magic bullsh!t...""""I wouldn't be so sure."""
394,Nightwing32193,"""You know i love you, brother."""
395,Dragodar,"About fifty feet down the road, on the other side of the street, two horses are harnessed to a lightweight cart full of vegetables.(1d20+0)15The horse on the left is a brown mare, and the one on the right is a white gelding. They are both about 13 hands tall."
396,Nightwing32193,"""Chad, horses.""he says and motions down the street."
397,RealZachKraus,"""No. Fvckin. Way."""
398,Nightwing32193,"Gideon sighs and nods. Gideon is going to make an attempt to get lost in the crowd, gauge the situation, and if possible attempt to steal the faster/stronger looking of the two. I'd like yo use my survival skill, i'm assuming i cant though so whatever. I'd also like a layout of the situation before i attempt yhe theft."
399,RealZachKraus,"""a deal? make trade?"""
400,Dragodar,"After making their way around town and restocking on supplies, the party continues making their way south to the edge of town. Lou pads cheerily behind them, wagging her tail. As the sun rises ever higher in the sky, our motley crew of adventurers leave the town of Aldus, finally heading south to Farindahl. Fully stocked on supplies, they are ready to face the long, three day walk ahead of them.=============The road south is a fairly smooth one, and for the first several hours, the party enjoys an easy going stroll through the countryside. Several times, they pass a cart or a group of merchants, but these occurrences grow more and more infrequent as the hours pass.=============By the time noon rolls around, the party is ready to stop for lunch. After nearly five hours of walking, they are ready for a rest, too. The party breaks formation and moves off the road to some nearby rocks which make for relatively comfortable seats. They munch happily on their rations as they enjoy the soft warmth of the winter sun.It is about 12 PM on Sunday, Iru 7th."
401,Nightwing32193,"Gideon lays down, placing his greatsword next to him and looks at Chadwick, ""Feel like sparring?"""
402,RealZachKraus,alexa play africa by toto
403,RealZachKraus,"Chadwick's eyes light up. ""Let's tussle bud."""
404,Dragodar,"<img alt=""Quote"" src=""images/sand/misc/quote_icon.png""/> Originally Posted by <strong>RealZachKraus</strong><img alt=""View Post"" class=""inlineimg"" src=""images/sand/buttons/viewpost-right.png""/>alexa play africa by toto"
405,Graehamkracker,"Bendron sees what promises to be a great lot of fun to watch. He takes a few minutes to stretch out and refocus, then finds a comfortable perch to watch the show."
406,Dragodar,"Chadwick and Gideon engage in a friendly spar, getting their blood flowing but being careful not to tire themselves out. Knowing that they have five more hours of marching ahead of them today, they take it easy. Soon, everyone has eaten and rested their weary limbs. After about an hour of rest, the party once again hits the road. The trees around them begin to cast long purple shadows as the sun dips lower and lower in the sky. The small amount of warmth the sun had afforded them fades along with its light; the night creeps in along with the cold. The party decides to stop and make camp.Soon after, the sun finally sinks completely below the horizon. They reckon they've traveled about fifteen miles since they started early this morning. There is plenty of tree cover surrounding them, on either side of the road. Making their way well off the road, the party settles in.It is about 7 PM on Sunday, Iru 7th."
407,Nightwing32193,Make a spot check to see if I can see the mountains over the tree line. 
408,Nightwing32193,"""Can't see the mountains yet, probably another days march til we reach them."""
409,Dragodar,"Another day's march proved Gideon's words accurate. As the sun began to reach its zenith on the party's second day of travel, the mountains came in to view on the southern horizon. And by the time the sun was setting, the party was almost upon them. Within the first couple of hours of their third day, they would reach the base of the mountains.As the party settles down for their second night on the road, the sun dips below the horizon and once again the cool winter nighttime takes over. The party beds down for the night to get some rest.=============The night passes without event as you get your sleep, but soon Gideon wakes you up for your share of the watch. For a couple hours, the night remains quiet and nothing happens. But after about two hours, you hear a slight noise in the trees. Whatever it is is outside the light of the campfire so you see nothing. But there was definitely movement of some kind.It is very early in the wee hours of the morning on Tuesday, Iru 9th."
410,BeefyChickens,"Demryon nudges Bendron, to wake him, and says quietly ""Wake up man, I think I heard something...do you see anything?"""
411,Graehamkracker,"Bendron stirs, and looks out the way Demryon points. ""Any idea how big it may be?"" He asks as he scans the woods, grabbing his Halberd and heading towards where the other three are sleeping."
412,Dragodar,"(1d20-1)9You see a slight movement and a vague shape, but it slips behind the trees before you can get a good look. It seems large though, and moves with a strange scuffle. It certainly wasn't bipedal, but you really couldn't get a good enough look to make out any details."
413,Graehamkracker,"""You're right, definitely something there. Moves kinda weirdly - and almost seems to be trying to hide. Probably best to wake the others a bit early.""  Bendron wakes the others gently, quietly explaining what was going on and telling them to be ready."
414,Dragodar,"As Bendron wakes the others, Lou is already up, barring her teeth and staring in the direction of the movement, but making no noise.Soon, the party is awake and alert. A slight rasping sound can be heard, like the sound of a rake or hoe tilling the earth and scratching across dirt and rocks. It begins loud but very quickly grows steadily quieter, as though becoming further away.Lou does not move a muscle. Her hair seems to stand on end as her hackles are raised. The angry snarl on her face does not waver but she makes no sound. Her eyes dart back and forth in the direction the scratching noise had come from."
415,BeefyChickens,"Demryon raises his trusty bow, drawing an arrow from its quiver."
416,Graehamkracker,"""Lou still seems rattled though - think it may be a trick?"""
417,BeefyChickens,"""Whatever it was, it was smart enough to move on, at least for now. It may just be going to get some friends. It may be wise for us to move camp..."""
418,Dragodar,"Without warning, Lou begins to bark frantically, clawing at the ground below her as though trying to dig. Her eyes are focused intently on the ground directly in front of her snout as she barks and growls at it aggressively. Her hackles stand tall as her tail extends out directly behind her; all her fur seems to puff out, making her appear larger as she angrily snarls at the ground.She backs away from the campfire, toward the edge of the clearing, her eyes still on the ground in front of her. Her eyes dart back and forth across the clearing, as though searching the ground. Her barks are interrupted with intermittent whines of apprehension as she continues to claw at the dirt."
419,Graehamkracker,"Bendron moves to flank Lou, back a few feet from the ground she is upset about. He braces the butt of his halberd into the ground and calls the others' attention. ""Boy, either your friend has gone mad, or we've got a burrower. Grab your stuff and get ready."""
420,ButcherDawg,"Seamus kneels beside Lou. ""What is it, girl? What are you on about?""Can i interpret Lou's behavior?"
421,Dragodar,"Seamus appraoches Lou, trying to determine what's wrong, but she does not change her behavior when he speaks to her. He is unable to determine the cause of her distress.Suddenly, Lou's barking turns to whining and she backs away further toward the edge of the campsite. A moment of silence hangs in the air, and then is shattered as the campfire explodes, sending fiery shards of kindling spraying in every direction. The party flinches, trying to avoid the shrapnel, as the ground underneath the campfire erupts. Where the fire sat crackling moments before, a massive crater caves in, revealing a clutter of long, segmented legs. The hole is about five feet across, and from it emerges a huge insect-like creature, as grotesque as it is terrifying. The giant bug squeals in a pitch almost too high to hear as its many legs scramble to find foothold on solid ground. Soon it stands before them, clicking its pincers and stabbing its forelegs in the air, its antennae gently probing the air.It's about 10 feet long, looks to be anywhere from 700 to 900 pounds. This is thing is HUGE.(1d20+1)15Demryon: (1d20+9)15Gideon: (1d20+3)12Seamus: (1d20+3)16Chadwick: (1d20+2)12Bendron: (1d20+2)16"
422,Dragodar,(1d20)1216 Seamus: (1d20)2015 Insect: (1d20)1915 Demryon: (1d20)512 Gideon: (1d20)712 Chadwick: (1d20)1Chadwick</li></ol>
423,Nightwing32193,"Knowledge check, also RAGE "
424,Dragodar,"From the Rulebook: <i>An untrained Knowledge check is simply an Intelligence check. Without actual training, you know only common knowledge (DC 10 or lower).You don't have any ranks in any knowledge skills so knowledge checks don't really do anything for you. As far as you can tell, this is obviously some kind of monster, but you are unfamiliar with it. You've never seen something like this before and it disgusts you."
425,Nightwing32193,"""Woah, ugly!"""
426,Dragodar,Chadwick</li></ol>
427,RealZachKraus,"Chadwick shakes himself, ""Oh course it had to be a fvcken bug eh?"""
428,ButcherDawg,Seamus casts a fire sphere spell directly at the creatures abdomen. (2d6)4
429,Dragodar,"(1d20+3)9The rolling sphere of flame strikes the creature hard, causing it to squeal its insectoid squeal, and its exoskeleton sizzles and pops under the heat. It leaps to the side and rears back, raising its pincers and advancing."
430,Nightwing32193,"""Well it seems to not like fire!"""
431,Graehamkracker,"Bendron swiftly sets his feet at shoulder width, and raises his halberd to rest at his shoulder. He rushes to the monster, bellowing ""YUNDRI ROTEVAN!"" and brings the halberd crashing down.Adopted Punishing Stance: -2AC, + 1d6 dmgUsed Leading the Attack: +4 ATK to allies this round if attack successful.Attack: (1d20+8)11Damage: (1d6)6"
432,Dragodar,"The creature dodges nimbly to the side, avoiding Bendron's attack with ease, and strikes at him with terrifying speed. (1d20+7)24Bite: (2d6+7)12Acid Damage: (1d4)2The insect's giant mandibles clamp down on Bendron's arm, opening a nasty wound. Its saliva seems to be particularly caustic, and the dwarf feels a searing pain as the wound burns intensely.You are currently at 18/32 HPRound 1Chadwick</li></ol>"
433,Dragodar,"Demryon quickly lets fly two arrows in rapid succession, aiming at the monstrous beast in front of him.First: (1d20+6)18Second: (1d20+6)21(1d8)7Second: (1d8)4Both arrows strike the beast, embedding themselves right next to each other between its forelegs, it squeals in pain and writhes as an ugly dark goo seeps from the wounds. It seems significantly weakened but it still has plenty of strength left.Round 1Chadwick</li></ol>"
434,Nightwing32193,"At the sight of the hideous beast Gideon lets out a monstrous roar,  RAGE +4 bonus to Strength, a +4 bonus to Constitution, and a +2 morale bonus on Will saves, but he takes a -2 penalty to Armor Class.  as he charges the beast he raises his greatsword above his head and brings it down with all his might onto his foe."
435,Dragodar,"Rage Duration 7 roundsSTR score temp 22 (+6)CON score temp 18 (+4)AC temp 13Will Save temp +2(1d20+9)17Gideon's furious stroke barely misses the foul creature, as it deftly dodges aside with an alien hiss. The barbarian's strike was powerful and would have done serious damage had the beast not been so quick.Round 1Chadwick</li></ol>"
436,RealZachKraus,"Chadwick, seeing his oppurtunity, swings his greataxe at the abdomen the creature is so disgustingly waving in his face.Attack: roll0 Damage: roll1Smite Evil, +CHA to attack roll, +paladin level to damage roll"
437,Dragodar,"(1d20+5)14Damage: (1d12+3)12Chadwick calls upon his holy power to smite the creature before him, but feels no assistance from his god. His axe swings harmlessly past the creature as it spins aside.Attack: (1d20+2)16Damage: (1d8)7As Seamus makes his move, the whistling hiss of an arrow cuts through the noise of the fight. A single dark shaft sails through the air from the darkness of the trees and strikes Gideon in  the stomach.You are currently at 33/40 HP. 6 of these HP are temporary HP and will disappear when your rage fades.<u>Round 2Lou</li></ol>===========================<u>Direction of ArrowThe arrow came from somewhere in this area. This is ALSO where the initial movement in the woods and the sound of scratching originated from."
438,ButcherDawg,"Seamus hurls the fire ball back at the insect--this time aiming directly for the head. ""You dumb, crawly shote!"""
439,ButcherDawg,A wave of heat passes over the heads of the others as the fire sphere is flung back towards to monster. (2d6)3
440,Dragodar,"Insect Reflex Save: (1d20+3)16This time, the bug is prepared. It ducks underneath the rolling ball of fire, hissing angrily. It's antennae twitch and shudder in a repulsive, insectoid manner, as its mandibles snap together with an ugly clicking sound.<u>Round 2Lou</li></ol>"
441,Graehamkracker,"Bendron raises his halberd high, and crashing down with all the power he can muster.Mountain hammer: +2d6 to dmg, ignores damage resistance and hardnessAttack: (1d20+8)24Damage: (1d6)1"
442,Dragodar,"Bendron's halberd comes down on the giant insect with full force, breaking through its chitinous exoskeleton and spraying dark ooze in every direction.(1d20+8)9Gideon: (1d20+4)18Seamus: (1d20+4)24Lou: (1d20+5)24Bendron: (1d20+3)21Chadwick: (1d20+6)14Everyone but Chadwick and Demryon manages to avoid the caustic spray. Chadwick and Demryon each take 8 HP of Acid Damage.You are currently at 21/29 HPYou are currently at 16/24 HPThe insect screeches and is severely injured, but not dead. Lashing out at its attacker, it attempts to grab Bendron with it's pincers.Attack: (1d20+7)16Bite Damage: (2d6+7)12Acid Damage: (1d4)1You are currently at 5/32 HPInsect Grapple: (1d20+12)31Bendron Grapple: (1d20+4)19Having successfully clamped its sticky mandibles around Bendron's abdomen, the creature writhes and squirms for a moment, before retreating into its burrow in a flash, with Bendron in tow. In half a second, the pair disappears into the ground.The last you saw of Bendron, he was bleeding profusely and in very bad shape. Attack: (1d20+3)18Damage: (1d8)7Before anyone can react, another arrow flies from the trees and strikes Seamus in the leg.You are currently at 18/25 HP<u>Round 2Lou</li></ol>"
443,Dragodar,"Demryon has the skilled eye of a highly trained archer. After the first arrow struck, he had kept an eye on the trees. When the second arrow came, he was prepared. Though he could not see his target, he was able to make an adept estimation of its location. Quickly knocking an arrow with an extra in his draw hand, he lets fly two shafts in rapid succession.<i>BAB +8Rapid Shot -2 to each shotTarget Concealment -4 to each shotAttack 1: (1d20+2)13Attack 2: (1d20+2)19Damage 1: (1d8)8Damage 2: (1d8)6The first arrow whistles away into the darkness, but the second strikes true. The satisfying smack of contact can be heard half an instant before a muffled cry of pain.<u>Round 2Lou</li></ol>: Flaming Sphere 2/3 rounds: Rage 2/7 rounds"
444,Nightwing32193,"Gideon shrugs and pulls a throwing axe out of his belt and positions himself facing the direction Demryon shot his arrows, DEX check against incoming arrows"
445,Dragodar,"For a moment, Gideon's shout echoes through the trees, and is followed by a short moment of silence which is quickly broken by the buzz of another arrow.(1d20)15Damage: (1d8)5The arrow strikes Gideon hard in the shoulder, almost protruding from the other side.You are currently at 28/40 HP. 6 of these HP are temporary and will disappear when your rage fades.<u>Round 2Lou</li></ol>: Flaming Sphere 2/3 rounds: Rage 2/7 rounds"
446,Nightwing32193,"""YOU MUTHERFVCKER!""screams Gideon and hurls his axe in the direction the arrow came."
447,Dragodar,"Chadwick looks to the trees, unable to see the attackers and unwilling to waste his time with them. He sighs with exasperation. ""Fine. I'll go get the dwarf.""He takes a running start and leaps into the tunnel at the center of the camp.The passage is dark but fairly wide, and Chad barely has to duck to avoid hitting his head. Sprinting after the insect, he is able to hear the scratching of it's chitinous body through the hard earth, and he quickly catches up with it. Though there is no light, he is able to pull a sunrod from his pack while holding his axe with his off hand, without slowing down. Smacking it on the wall of the tunnel, he is suddenly able to see his environment.A few feet ahead of Chad, the massive bug is roughly dragging a weakly struggling Bendron through the narrow tunnel. With a cry of righteous fury, Chadwick tosses the sunrod on the ground a few feet ahead of him and grasps his axe with both hands, raising it as high as he is able in the narrow confines of the hole.Attack: (1d20+5)18Damage: (1d12+3)10Chadwick brings his axe down hard on the creature's head, severing it instantly. The enormous mandibles immediately release the injured dwarf as the rest of the body twitches and shudders, the segmented legs fluttering and jerking in macabre post mortem spasms.For all intents and purposes, Bendron and Chadwick are currently no longer part of initiative, being sheltered by the tunnel. Lay on Hands: 12Bendron feels his energy return as several of his nastier wounds close up under the glowing hands of the paladin. Most of the worst bleeding stops, and Bendron feels reinvigorated.You are currently at 17/32 HPLou barks and rushes into the trees in the direction of the arrows. She disappears from view but the party can hear a human yell and then a wolf yelp, followed by the sounds of a struggle.<u>Round 3Lou</li></ol>You are currently at 16/24 HP.You are currently at 28/40 HP. 6 of these HP are temporary and will disappear after your rage fades.You are currently at 18/25 HP.You are currently at 17/32 HP.You are currently at 21/29 HP.: Flaming Sphere 3/3 rounds: Rage 3/7 rounds"
448,ButcherDawg,Seamus wastes no time and slides feet first down the hole that took Bendron.
449,Dragodar,"As Seamus jumps into the tunnel, prepared to cast his spell, he sees Chadwick leaning over the dwarf, a familiar glowing light emanating from his palms. Behind them, illuminated by a glowing sunrod on the floor of the tunnel, the insect lies separated from its gargantuan head, its body still twitching disgustingly."
450,ButcherDawg,"Seamus gulps in horror at Bendron's wounds. He quickly looks in the walls of the tunnel to find a protruding root. Severing it from the wall, he brushes it over Bendron's gaping wounds.Cure LITE Wounds: roll1d8/roll<hr size=""1"" style=""color: rgb(209,209,225);""/>* post roll count doesn't match database</em>"
451,Dragodar,"Seamus rushes forward, also laying his hand on Bendron's wounds.(1d8+3)7You are now at 24/32 HP.Bendron feels his wounds close and strength return even more. The pain he had been in moments before is already a quickly fading memory.<u>Round 3Unknown Archer</li></ol>You are currently at 16/24 HP.You are currently at 28/40 HP. 6 of these HP are temporary and will disappear after your rage fades.You are currently at 18/25 HP.You are currently at 24/32 HP.You are currently at 21/29 HP.: Flaming Sphere 3/3 rounds: Rage 3/7 rounds"
452,ButcherDawg,"Seamus climbs back up through the hole, raises his eyebrows and sighs to Demyron and Gideon, and brushes the dirt out of his hair."
453,Dragodar,"Demryon rushes forward to get a better view. Seeing a vague humanoid shape in the trees, he looses two more arrows.<i>RAB +8Rapid Shot -2 to each shotAttack 1: (1d20+6)17Attack 2: (1d20+6)14Damage 1: (1d8)6Damage 2:(1d8)3Demryon's arrows both sail through the air, the first one striking the figure in the chest and the second barely missing. The man cries out in pain and falls to the ground as Lou moves in to attack again.<u>Round 3Seamus</li></ol>You are currently at 16/24 HP.You are currently at 28/40 HP. 6 of these HP are temporary and will disappear after your rage fades.You are currently at 18/25 HP.You are currently at 24/32 HP.You are currently at 21/29 HP.: Flaming Sphere 3/3 rounds: Rage 3/7 rounds"
454,Graehamkracker,"Bendron climbs out of the hole, calling out ""What sort of archer works with a giant bug?"
455,Nightwing32193,"""Fvck. That. Coward!"" screams Gideon as he breaks off the arrows protruding out of his torso. He lets out a blood curdling war cry and and hurls his axe into the trees then charges headlong in the direction the arrows came from."
456,Dragodar,"Chadwick, follow Bendron out of the tunnel, holding his axe high and prepared for anything. Gideon rushes at the archer in the woods, barreling into him while sweeping up with his massive sword.<i>MAB +7Rage +2Charge +2Attack: (1d20+11)23Damage: (2d6+6)15Gideon brings his sword directly into the chest of the unknown archer, biting deep into his flesh and causing him to cry out in pain. He falls to the ground, screaming, ""Please, stop! Don't kill me!""Lou snarls and clamps her jaws around the man's neck, swinging her head around rapidly and breaking his neck. The body goes limp and blood pours profusely from the deep fang wounds in the neck.All is quiet. Though the party remains alert, no other noises or attacks are heard. The forest is once again quiet.You are currently at 16/24 HP.You are currently at 28/40 HP. 6 of these HP are temporary and will disappear after your rage fades.You are currently at 18/25 HP.You are currently at 24/32 HP.You are currently at 21/29 HP.: Rage 4/7 rounds"
457,ButcherDawg,"""Lou! You dirty girl!"" Seamus says with an impressive expression."
458,Nightwing32193,"Gideon picks up the dead man's bow and collects the rest of the arrows. Then kneels down, mutters something in his native tongue and brings his fist down on the corpses mouth."
459,Dragodar,"The party approaches the body of their attacker. He appears to have been a man in his late thirties or early forties. His hair is dark and mostly soaked in his own blood, and Demryon's arrow protrudes from his chest. He wears a black cloak and studded leather armor. In his hand is the bow he used to attack the group; it is carved with supreme craftsmanship and bears no flaw. On his shoulder is a cloth quiver holding a thick stack of arrows. On his back is a sturdy leather pack with shiny brass clasps that bear strange carved markings. And around his neck, he wears a silver amulet that seems to shine as though polished to perfection.Gideon kneels beside the corpse, grabbing the bow from the lifeless hand and pulling the quiver off the shoulder, before punching the dead man in the mouth. As Gideon stands, a low hum can be heard for the briefest of moments before it fades as quickly as it came.As you pick up the bow, you feel a deep hum from it when it touches your hand. It seems to vibrate for half an instant when you first grasp it, and is ever so slightly warm to the touch."
460,BeefyChickens,"""Gideon... I think that may be suited better in my hands."""
